,date,daily_return,account_value
106,2024-06-14,-0.002145833922079232,861111.1310352682
107,2024-06-17,0.008602126892366613,868518.5182528629
108,2024-06-18,-0.0021321903511325457,866666.6714484642
109,2024-06-19,0.00427349260195653,870370.3650572614
110,2024-06-20,0.008510697562724712,877777.824001822
111,2024-06-21,-0.0042194792742399345,874074.0586660589
112,2024-06-24,-0.008474553322060041,866666.6714484639
113,2024-06-25,-0.004273575363839877,862962.9061127007
114,2024-06-26,-0.010729585195848768,853703.6720907072
115,2024-06-27,0.0,853703.6720907072
116,2024-06-28,0.0021692755834459287,855555.5906220718
117,2024-07-01,-0.002164580012875672,853703.6720907072
118,2024-07-02,-0.0021691915648711646,851851.8252863085
119,2024-07-03,0.004347898573227038,855555.5906220718
120,2024-07-04,0.017315969409325893,870370.3650572613
121,2024-07-05,0.0021276537882546354,872222.21186166
122,2024-07-08,-0.002123136488861199,870370.3650572613
123,2024-07-09,-0.012765922729528145,859259.2842308691
124,2024-07-10,-0.006465582906252543,853703.6720907072
125,2024-07-11,0.0,853703.6720907072
126,2024-07-12,0.0021692755834459287,855555.5906220718
127,2024-07-15,0.012986977056994364,866666.6714484639
128,2024-07-16,-0.012820477805869923,855555.5906220718
129,2024-07-17,0.010822480880828822,864814.8246440653
130,2024-07-18,0.006423965286999511,870370.3650572614
131,2024-07-19,-0.006382961364764017,864814.8246440653
132,2024-07-22,-0.010706608811665963,855555.5906220719
133,2024-07-23,0.0021644123394557457,857407.3656995046
134,2024-07-26,0.0043859817901739095,861167.9387922236
135,2024-07-29,0.0,861167.9387922236
136,2024-07-30,0.008733657915767745,868689.0849776617
137,2024-07-31,0.00432902077135644,872449.6580703807
138,2024-08-01,-0.002155221670899876,870569.3356605382
139,2024-08-02,-0.006479465270064488,864928.5118849427
140,2024-08-05,-0.04565214074176294,825442.6737288077
141,2024-08-06,0.006833695367497894,831083.4975044033
142,2024-08-07,0.009049721816227319,838604.5719628754
143,2024-08-08,-0.008968558853510666,831083.4975044032
144,2024-08-09,0.009049721816227319,838604.5719628753
145,2024-08-12,-0.0022421183305447734,836724.3212799988
146,2024-08-13,-0.00674155588900105,831083.4975044031
147,2024-08-14,0.027149338059415218,853646.8643337513
148,2024-08-15,-0.01762121200154132,838604.5719628752
149,2024-08-16,0.0,838604.5719628752
150,2024-08-19,-0.013452881045931897,827322.924411684
151,2024-08-20,-0.002272692593661252,825442.6737288075
152,2024-08-21,0.0,825442.6737288075
153,2024-08-22,0.015945260225777913,838604.5719628752
154,2024-08-23,-0.006726440522965893,832963.7481872797
155,2024-08-26,0.009029379972184559,840484.8943727177
156,2024-08-27,0.002237102291148041,842365.1450555943
157,2024-08-28,-0.002232108835358404,840484.8943727177
158,2024-08-29,-0.002237187631130233,838604.5719628753
159,2024-08-30,-0.0022421183305447734,836724.3212799988
160,2024-09-02,-0.00674155588900105,831083.4975044031
161,2024-09-03,-0.00904980812159395,823562.3513189651
162,2024-09-04,-0.0319634186202693,797238.4831238637
163,2024-09-05,-0.004716998956176499,793477.9100311447
164,2024-09-06,-0.0023697224410048623,791597.5876213023
165,2024-09-09,-0.023752969982046457,772794.7938846732
166,2024-09-10,-0.007299251780981009,767153.9701090776
167,2024-09-11,-0.009803865653465582,759632.8956506054
168,2024-09-12,0.022277170227459786,776555.3669773922
169,2024-09-13,0.019370441933148186,791597.5876213023
170,2024-09-16,0.01662709710951038,804759.5575823359
171,2024-09-18,0.00934583021049562,812280.7037677739
172,2024-09-19,-0.0138889416255078,800998.9844896169
173,2024-09-20,-0.007042235863993995,795358.1607140214
174,2024-09-23,0.0047281505093792475,799118.7338067404
175,2024-09-24,0.0023529052734374556,800998.9844896169
176,2024-09-25,0.025821650897161375,821682.1006360886
177,2024-09-26,-0.004576676417568093,817921.5275433697
178,2024-09-27,0.06206898305607944,868689.0849776617
179,2024-09-30,0.0021644691010764827,870569.3356605383
180,2024-10-01,0.008639341954000068,878090.4818459763
181,2024-10-04,0.014989309454036759,891252.4518070099
182,2024-10-07,0.004219344763797039,895012.953172763
183,2024-10-08,-0.004201616694398003,891252.4518070099
184,2024-10-09,-0.04219409146871156,853646.8643337515
185,2024-10-11,0.0,853646.8643337515
186,2024-10-14,-0.015418518489265676,840484.8943727178
187,2024-10-15,0.0,840484.8943727178
188,2024-10-16,-0.008948579844556659,832963.7481872798
189,2024-10-17,0.01354406995827695,844245.4674654369
190,2024-10-18,0.022271714165168488,863048.2612020662
191,2024-10-21,-0.015250560777101185,849886.2912410327
192,2024-10-22,-0.008849591131132817,842365.1450555946
193,2024-10-23,-0.004464302820210819,838604.5719628757
194,2024-10-24,-0.0022421183305447734,836724.3212799991
195,2024-10-25,0.0134831117780021,848005.9688311903
196,2024-10-28,0.008869213734196357,855527.1150166283
197,2024-10-29,-0.0065933898255065015,849886.2912410328
198,2024-10-30,-0.004424795565566408,846125.7181483138
